date,governorate_name,governorate_ID,district_name,district_ID,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,exchange_rate
2/1/2019,Hajjah,YE17,Bani Qa'is,YE1724,325,380,100,NA,120,90.90909091,500,1500,590
2/1/2019,Hajjah,YE17,Najrah,YE1726,325,375,100,NA,100,109.0909091,500,1000,590
2/1/2019,Al Hudaydah,YE18,Az Zuhrah,YE1801,325,375,120,100,120,100,400,1000,593
2/1/2019,Al Hudaydah,YE18,Alluheyah,YE1802,325,380,130,75,130,120,700,1500,560
2/1/2019,Al Hudaydah,YE18,Al Qanawis,YE1806,330,370,150,75,150,120,650,2000,550
2/1/2019,Al Hudaydah,YE18,Az Zaydiyah,YE1807,325,375,150,75,150,90.90909091,500,1000,580
2/1/2019,Al Hudaydah,YE18,Bajil,YE1810,325,375,150,65,140,63.63636364,575,500,590
2/1/2019,Al Hudaydah,YE18,Bayt Al Faqiah,YE1817,335,385,90,100,105,77.27272728,360,1600,585
2/1/2019,Al Hudaydah,YE18,Hays,YE1819,320,330,105,NA,111.1111111,120,325,1500,575
2/1/2019,Al Hudaydah,YE18,Al Khawkhah,YE1820,290,320,125,100,138.4920635,110,312.5,NA,NA
2/1/2019,Al Hudaydah,YE18,Zabid,YE1824,350,400,150,NA,160,150,420,NA,600
2/1/2019,Al Hudaydah,YE18,At Tuhayta,YE1826,350,350,140,NA,120,120,350,NA,NA
2/1/2019,Dhamar,YE20,Wusab As Safil,YE2007,335,375,110,310,105,100,500,3000,570
2/1/2019,Dhamar,YE20,Dhamar City,YE2008,325,375,100,430,130,100,500,1700,555
2/1/2019,Shabwah,YE21,Ataq,YE2113,240,320,100,80,130,118.1818182,500,985,595
2/1/2019,Shabwah,YE21,Habban,YE2114,240,275,100,NA,150,120,500,3500,595
2/1/2019,Sa'ada,YE22,Monabbih,YE2203,380,400,200,NA,170,150,750,3500,600
2/1/2019,Sa'ada,YE22,Ghamr,YE2204,400,400,150,NA,160,130,700,4000,600
2/1/2019,Sa'ada,YE22,Razih,YE2205,350,400,150,NA,160,130,650,4000,600
2/1/2019,Sa'ada,YE22,Saqayn,YE2209,400,430,120,95,140,150,550,4500,585
2/1/2019,Sa'ada,YE22,Sahar,YE2211,325,375,100,300,100,100,1200,850,580
2/1/2019,Sa'ada,YE22,Sa'adah,YE2215,325,375,100,300,100,100,1200,800,580
2/1/2019,Sana'a,YE23,Hamdan,YE2301,325,420,100,50,145,100,500,900,550
2/1/2019,Sana'a,YE23,Arhab,YE2302,325,420,100,60,150,100,500,1500,552.5
2/1/2019,Sana'a,YE23,Nihm,YE2303,325,450,100,NA,150,120,500,1500,NA
2/1/2019,Sana'a,YE23,Bani Hushaysh,YE2304,325,420,100,60,145,100,500,1150,560
2/1/2019,Sana'a,YE23,Sanhan,YE2305,400,400,120,120,144,180,600,5000,580
2/1/2019,Sana'a,YE23,Khwlan,YE2312,325,375,100,NA,150,100,500,1800,550
2/1/2019,Aden,YE24,Al Buraiqeh,YE2404,275,310,130,150,200,90.90909091,575,2500,590
2/1/2019,Aden,YE24,Khur Maksar,YE2408,275,NA,130,75,120,136.3636364,500,NA,590
2/1/2019,Lahj,YE25,Al Milah,YE2508,275,300,150,NA,150,63.63636364,600,1500,581
2/1/2019,Lahj,YE25,Tuban,YE2515,275,305,110,150,150,90.90909091,600,250,572.5
2/1/2019,Amran,YE29,Jabal Iyal Yazid,YE2912,335,392.5,115,250,120,90.90909091,550,950,560
2/1/2019,Amran,YE29,Amran,YE2915,325,375,110,147.7272727,135,100,500,850,570
2/1/2019,Al Dhale'e,YE30,Qa'atabah,YE3003,300,310,120,100,156,80,550,2000,560
2/1/2019,Al Dhale'e,YE30,Ad Dhale'e,YE3006,275,300,110,100,192,80,500,2250,557.5
2/1/2019,Socotra,YE32,Hidaybu,YE3201,235,230,100,100,96,80,600,1000,580
3/1/2019,Ibb,YE11,Yarim,YE1102,365,430,120,100,150,80,500,1200,578
3/1/2019,Ibb,YE11,Hazm Al Udayn,YE1109,365,430,130,100,150,130,700,NA,580
3/1/2019,Ibb,YE11,Dhi As Sufal,YE1116,365,430,130,500,120,90.90909091,450,3000,583
3/1/2019,Ibb,YE11,Mudhaykhirah,YE1117,400,450,100,500,100,72.72727273,460,NA,584
3/1/2019,Ibb,YE11,Al Mashannah,YE1118,365,430,100,400,100,72.72727273,400,3000,580
3/1/2019,Ibb,YE11,Al Dhihar,YE1119,365,430,120,500,130,110,500,2000,582
3/1/2019,Abyan,YE12,Sibah,YE1205,340,375,120,100,204,80,550,2000,547.5
3/1/2019,Amanat Al Asimah,YE13,Az'zal,YE1303,365,430,100,85,100,100,525,1166,525
3/1/2019,Amanat Al Asimah,YE13,Assafi'yah,YE1304,365,430,100,65,100,100,575,1166,525
3/1/2019,Amanat Al Asimah,YE13,As Sabain,YE1305,365,420,130,100,150,100,500,1500,533
3/1/2019,Amanat Al Asimah,YE13,Al Wahdah,YE1306,365,430,100,47.5,100,100,525,1500,525
3/1/2019,Amanat Al Asimah,YE13,Ma'ain,YE1308,355,440,115,100,150,125,650,1125,557
3/1/2019,Amanat Al Asimah,YE13,Ath'thaorah,YE1309,365,430,100,300,140,100,450,1700,560
3/1/2019,Amanat Al Asimah,YE13,Bani Al Harith,YE1310,365,430,100,65,150,100,500,1050,586
3/1/2019,Al Bayda,YE14,Rada',YE1413,390,450,150,120,170,180,600,5000,600
3/1/2019,Taizz,YE15,Al  Mukha,YE1505,370,400,115,NA,124,100,350,NA,580
3/1/2019,Taizz,YE15,Jabal Habashy,YE1508,375,400,90,150,110,75,500,2083,575
3/1/2019,Taizz,YE15,Dimnat Khadir,YE1512,375,440,130,100,155,104.5,500,2000,574.5
3/1/2019,Taizz,YE15,As Silw,YE1513,400,450,100,100,180,150,750,NA,600
3/1/2019,Taizz,YE15,Ash Shamayatayn,YE1514,375,400,100,100,110,91,450,4400,583
3/1/2019,Taizz,YE15,Al Mudhaffar,YE1517,325,325,100,80,150,120,700,1000,554
3/1/2019,Taizz,YE15,Al Qahirah,YE1518,340,340,100,80,150,120,700,1000,555
3/1/2019,Taizz,YE15,At Ta'iziyah,YE1520,375,440,150,100,150,111,550,2000,585
3/1/2019,Taizz,YE15,Al Ma'afer,YE1521,400,425,150,200,150,109,500,600,588
3/1/2019,Taizz,YE15,Al Mawasit,YE1522,400,425,150,150,140,109,500,500,588
3/1/2019,Al Jawf,YE16,Bart Al Anan,YE1610,375,435,110,310,100,100,850,900,570
3/1/2019,Hajjah,YE17,Qafl Shamer,YE1713,440,370,100,87.5,128,86,700,4500,575
3/1/2019,Hajjah,YE17,Al Mahabishah,YE1715,370,440,120,170,160,100,700,6500,570
3/1/2019,Hajjah,YE17,Bani Qa'is,YE1724,375,430,120,NA,130,118,500,1500,560
3/1/2019,Hajjah,YE17,Najrah,YE1726,375,430,120,NA,120,109,400,1200,560
3/1/2019,Al Hudaydah,YE18,Alluheyah,YE1802,375,390,150,100,150,91,700,2500,570
3/1/2019,Al Hudaydah,YE18,Al Qanawis,YE1806,370,380,150,87.5,130,109,700,2500,570
3/1/2019,Al Hudaydah,YE18,Az Zaydiyah,YE1807,365,430,120,70,100,75,320,1000,530
3/1/2019,Al Hudaydah,YE18,Bajil,YE1810,365,430,120,70,100,60,305,500,500
3/1/2019,Al Hudaydah,YE18,Bayt Al Faqiah,YE1817,375,NA,107.5,55,100,100,350,2000,530
3/1/2019,Al Hudaydah,YE18,Hays,YE1819,385,410,110,NA,133,98,400,1250,555
3/1/2019,Al Hudaydah,YE18,Al Khawkhah,YE1820,370,400,105,NA,74,106.5,384,3000,582.5
3/1/2019,Al Hudaydah,YE18,Zabid,YE1824,400,480,160,130,135,135,375,NA,565
3/1/2019,Al Hudaydah,YE18,At Tuhayat,YE1826,420,375,140,NA,128,120,400,NA,NA
3/1/2019,Dhamar,YE20,Wusab As Safil,YE2007,375,430,110,320,120,120,570,3200,590
3/1/2019,Dhamar,YE20,Dhamar City,YE2008,365,430,100,400,130,100,450,2000,586
3/1/2019,Shabwah,YE21,Ataq,YE2113,365,365,100,150,120,118,400,1388,587
3/1/2019,Shabwah,YE21,Habban,YE2114,275,362.5,100,NA,150,130,750,3875,585
3/1/2019,Sa'ada,YE22,Monabbih,YE2203,400,400,150,NA,160,140,700,3000,560
3/1/2019,Sa'ada,YE22,Ghamr,YE2204,400,400,180,NA,100,180,680,1000,560
3/1/2019,Sa'ada,YE22,Saqayn,YE2209,365,450,120,100,200,200,550,5000,580
3/1/2019,Sa'ada,YE22,Sahar,YE2211,375,435,110,310,100,100,1000,800,580
3/1/2019,Sa'ada,YE22,Sa'adah,YE2215,365,430,120,200,150,130,500,1000,555
3/1/2019,Sana'a,YE23,Hamdan,YE2301,365,440,100,60,150,100,500,850,570.5
3/1/2019,Sana'a,YE23,Arhab,YE2302,365,430,100,70,150,100,500,1375,587
3/1/2019,Sana'a,YE23,Nihm,YE2303,370,450,100,NA,160,100,520,1300,NA
3/1/2019,Sana'a,YE23,Bani Hushaysh,YE2304,365,430,100,60,150,100,500,1100,540
3/1/2019,Sana'a,YE23,Sanhan,YE2305,370,450,140,100,120,150,600,4500,590
3/1/2019,Sana'a,YE23,Bani Matar,YE2307,365,450,140,100,120,150,600,4500,600
3/1/2019,Sana'a,YE23,Khwlan,YE2312,365,430,100,NA,150,100,500,2000,565
3/1/2019,Aden,YE24,Al Buraiqeh,YE2404,290,355,150,100,150,150,525,1000,588
3/1/2019,Aden,YE24,Khur Maksar,YE2408,290,NA,125,70,120,136,500,5000,580
3/1/2019,Lahj,YE25,Al Milah,YE2508,325,375,150,NA,150,118,550,2000,589
3/1/2019,Lahj,YE25,Tuban,YE2515,300,375,150,100,150,91,550,1000,585
3/1/2019,Amran,YE29,Jabal Iyal Yazid,YE2912,365,430,120,350,150,109,833,1000,585
3/1/2019,Amran,YE29,Amran,YE2915,365,430,120,200,150,100,625,900,590
3/1/2019,Al Dhale'e,YE30,Qa'atabah,YE3003,330,380,120,100,213,80,550,2000,544
3/1/2019,Al Dhale'e,YE30,Ad Dhale'e,YE3006,325,375,100,100,208,75,500,2500,545
3/1/2019,Socotra,YE32,Hidaybu,YE3201,230,230,120,NA,160,140,700,900,560
